date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype,archetype_at_entry,archetype_at_exit,decision_source
215,UBS,sell,20.835779441539806,36.61542892456055,761.8488434406846,,trailing_stop,-15.169609027941192,70,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
215,BG,buy,4.664210073449635,93.11005757959308,434.28486850221356,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
215,REXR,buy,9.889130525065514,42.432386095765764,419.6194045910027,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
220,SNDK,buy,1.7228193081484304,176.03019246095326,303.26821438881456,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
225,GGB,buy,67.31869670759238,3.381193570825976,227.61754450409515,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
225,TMO,buy,0.38524663263573933,565.1606557611041,217.7262395301716,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
230,SNDK,sell,1.7228193081484304,271.5799865722656,466.4601086643873,,take_profit,163.19189427557274,10,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
230,MTSI,buy,1.2301278702440848,170.3094559642737,209.50240834776073,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
231,TSM,sell,0.8682573106453372,289.02313232421875,250.5159069207672,,trim_exit,39.2244331738913,106,True,quality_compounder,quality_compounder,quality_compounder,global_rule
232,TSM,sell,0.5817323981323759,280.6494445800781,162.98116033158536,,trim_exit,21.415872921178504,107,True,quality_compounder,quality_compounder,quality_compounder,global_rule
233,TSM,sell,0.3897607067486918,283.2550048828125,110.21119234443583,,trim_exit,15.362449779463248,108,True,quality_compounder,quality_compounder,quality_compounder,global_rule
234,REXR,sell,9.889130525065514,39.34199142456055,388.47972312299055,,trailing_stop,-31.139681468012157,19,False,defensive_income,defensive_income,defensive_income,archetype_rule
234,TSM,sell,0.26113967352162354,280.46044921875,73.11410653274584,,trim_exit,9.565449014214202,109,True,quality_compounder,quality_compounder,quality_compounder,global_rule
235,TSM,sell,0.17496358125948777,276.38299560546875,48.274330836176745,,trim_exit,5.696730298760549,110,True,quality_compounder,quality_compounder,quality_compounder,global_rule
235,MDU,buy,13.370536380164603,20.16811074226636,269.6584583986609,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
236,TSM,sell,0.1172255994438568,280.8184814453125,32.86283887150769,,trim_exit,4.335846511438842,111,True,quality_compounder,quality_compounder,quality_compounder,global_rule
237,FSLR,sell,4.871449723725776,245.83999633789062,1195.279906357525,,trailing_stop,71.95735882619101,32,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
237,TEL,sell,4.644458711189522,213.01133728027344,987.8330213335221,,trailing_stop,40.23411832909369,77,False,quality_compounder,quality_compounder,quality_compounder,archetype_rule
237,TSM,sell,0.07854115162738405,275.9752197265625,21.638365512943203,,trim_exit,2.5252806316970755,112,True,quality_compounder,quality_compounder,quality_compounder,global_rule
238,TSM,sell,0.05262257159034731,273.5486145019531,14.370217692667332,,trim_exit,1.564450822232427,113,True,quality_compounder,quality_compounder,quality_compounder,global_rule
239,TSM,sell,0.035257122965532704,283.0760192871094,9.963278716109258,,trim_exit,1.3834149129178694,114,True,quality_compounder,quality_compounder,quality_compounder,global_rule
240,TSM,sell,0.023622272386906906,283.11578369140625,6.676333841811775,,trim_exit,0.9278250936735466,115,True,quality_compounder,quality_compounder,quality_compounder,global_rule
240,GMAB,buy,14.345038214159649,31.451444811533445,451.1721777119805,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
241,TSM,sell,0.015826922499227625,288.36676025390625,4.5560985188004794,,trim_exit,0.704597657547867,116,True,quality_compounder,quality_compounder,quality_compounder,global_rule
242,TSM,sell,0.010604038074482508,289.90826416015625,3.0689455037435347,,trim_exit,0.4884399267042845,117,True,quality_compounder,quality_compounder,quality_compounder,global_rule
243,TSM,sell,0.007104705509903281,286.0992736816406,2.0291762204902972,,trim_exit,0.3002374838739994,118,True,quality_compounder,quality_compounder,quality_compounder,global_rule
244,TSM,sell,0.004760152691635198,290.48504638671875,1.380388625071667,,trim_exit,0.22199967153874756,119,True,quality_compounder,quality_compounder,quality_compounder,global_rule
245,TSM,sell,0.003189302303395583,293.8266296386719,0.9355005359922507,,trim_exit,0.1593799371251945,120,True,quality_compounder,quality_compounder,quality_compounder,global_rule
245,AMGN,buy,0.9133367413700324,341.0081339184992,311.4552578137977,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
245,EXEL,buy,7.058587449029981,44.08918865669087,311.2073936900332,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
250,CTSH,buy,2.9754584734750873,82.34507104912544,245.01433940202838,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
250,AXIA,buy,19.492398314416143,11.618758936792023,226.47747711513233,buy,,0.0,0,False,defensive_income,defensive_income,,archetype_rule
250,VFC,buy,11.663817497357362,19.111121756591118,222.90863633865445,buy,,0.0,0,False,quality_compounder,quality_compounder,,archetype_rule
251,BG,sell,10.162893926746214,92.182861328125,935.2455427144579,,weak_value,-20.043843121863233,36,False,quality_compounder,quality_compounder,quality_compounder,global_rule
251,TSM,sell,0.002136832543275041,303.993408203125,0.6484825443358477,,trim_exit,0.1284817430949201,126,True,quality_compounder,quality_compounder,quality_compounder,global_rule
251,MTSI,sell,0.40594219718054797,189.86000061035156,76.91933930211987,,trim_exit,7.783544547358815,21,True,quality_compounder,quality_compounder,quality_compounder,global_rule
252,TSM,sell,0.0014316778039942773,291.21942138671875,0.4162168145176722,,trim_exit,0.06781627768625065,127,True,quality_compounder,quality_compounder,quality_compounder,global_rule
253,TSM,sell,0.0009592241286761656,286.9314880371094,0.2747584280078808,,trim_exit,0.041330068330828446,128,True,quality_compounder,quality_compounder,quality_compounder,global_rule
254,TSM,sell,0.000642680166213031,286.0639343261719,0.18353150166942417,,trim_exit,0.027134500685799062,129,True,quality_compounder,quality_compounder,quality_compounder,global_rule
