segment,variant,start_day,end_day,excess_delta_vs_current,return_delta_vs_current
all,neutral_070_4,766,811,0.003634008878581785,0.003634008878581785
all,neutral_070_4,767,812,0.0027399291235361556,0.0027399291235361556
all,neutral_070_4,768,813,0.0039839595321993215,0.0039839595321993215
all,neutral_070_4,769,814,0.0020475163090709625,0.0020475163090709625
all,neutral_070_4,770,815,0.003737216989021075,0.003737216989021075
all,neutral_070_4,771,816,0.0032155710822037165,0.0032155710822037165
all,neutral_070_4,772,817,0.0008600265001104113,0.0008600265001104113
all,neutral_070_4,773,818,-0.0004217144623459568,-0.0004217144623459568
all,neutral_070_4,774,819,0.0012838914028960868,0.0012838914028960868
all,neutral_070_4,775,820,0.001904924512719841,0.001904924512719841
all,neutral_070_4,776,821,-0.0021802312849892314,-0.0021802312849892314
all,neutral_070_4,777,822,-0.002218950084551974,-0.002218950084551974
all,neutral_070_4,778,823,-0.0006703467616027137,-0.0006703467616027137
all,neutral_070_4,779,824,-0.0017206102074005525,-0.0017206102074005525
all,neutral_070_4,780,825,-0.000715012955652683,-0.000715012955652683
all,neutral_070_4,781,826,-0.001564605770430827,-0.001564605770430827
all,neutral_070_4,995,1040,-0.0030206500079321685,-0.0030206500079321685
all,neutral_070_4,996,1041,-0.00029063971672216304,-0.00029063971672216304
all,neutral_070_4,997,1042,0.0006128916547176733,0.0006128916547176733
all,neutral_070_4,998,1043,0.0017370377354590794,0.0017370377354590794
all,neutral_070_4,999,1044,0.0012891147218250243,0.0012891147218250243
all,neutral_070_4,1000,1045,0.0016893436468821132,0.0016893436468821132
all,neutral_070_4,1001,1046,0.0013456810034508937,0.0013456810034508937
all,neutral_070_4,1002,1047,0.0015951234391453628,0.0015951234391453628
all,neutral_070_4,1003,1048,0.0003652861150711395,0.0003652861150711395
all,neutral_070_4,1004,1049,-5.15436068633246e-05,-5.15436068633246e-05
all,neutral_070_4,1005,1050,-8.489315187487634e-06,-8.489315187487634e-06
all,neutral_070_4,1006,1051,0.0009868100242058642,0.0009868100242058642
all,neutral_070_4,1007,1052,0.002829418245531512,0.002829418245531512
all,neutral_070_4,1008,1053,0.0027192360885233136,0.0027192360885233136
all,neutral_070_4,1009,1054,0.0034312867790589063,0.0034312867790589063
all,neutral_070_4,1010,1055,0.003913079710681444,0.003913079710681444
all,neutral_070_4,1011,1056,0.002814809554405384,0.002814809554405384
all,neutral_070_4,1012,1057,0.002653302984489958,0.002653302984489958
all,neutral_070_4,1013,1058,0.0029558044996933486,0.0029558044996933486
all,neutral_070_4,1014,1059,0.003714547264781931,0.003714547264781931
all,neutral_070_4,1015,1060,0.004029799818418667,0.004029799818418667
all,neutral_070_4,1016,1061,0.0037205861994038525,0.0037205861994038525
all,neutral_070_4,1017,1062,0.004041590717575261,0.004041590717575261
all,neutral_070_4,1018,1063,0.002544462330350994,0.002544462330350994
all,neutral_070_4,2378,2423,-0.004304151998606454,-0.004304151998606454
all,neutral_070_4,2379,2424,-0.0002448029155738274,-0.0002448029155738274
all,neutral_070_4,2380,2425,-0.0018957360076052865,-0.0018957360076052865
all,neutral_070_4,2381,2426,-0.0008729180221677124,-0.0008729180221677124
all,neutral_070_4,3598,3643,0.001951302560468049,0.001951302560468049
all,neutral_070_4,3599,3644,0.0018857474693108056,0.0018857474693108056
all,neutral_070_4,3600,3645,0.0014621188897863124,0.0014621188897863124
all,neutral_070_4,3601,3646,0.005667451072854046,0.005667451072854046
all,neutral_070_4,3602,3647,-0.0002571400139048663,-0.0002571400139048663
all,neutral_070_4,3603,3648,-0.000738946638730642,-0.000738946638730642
all,neutral_070_4,3604,3649,-0.00010192891847138341,-0.00010192891847138341
all,neutral_070_4,3605,3650,0.002184439384003145,0.002184439384003145
all,neutral_070_4,3606,3651,0.0038684581838603904,0.0038684581838603904
all,neutral_070_4,3607,3652,0.0011749983433195776,0.0011749983433195776
all,neutral_070_4,3608,3653,0.0014600794720425192,0.0014600794720425192
all,neutral_070_4,3609,3654,0.005964961537063607,0.005964961537063607
all,neutral_065_5,461,506,-0.00036526631811961696,-0.00036526631811961696
all,neutral_065_5,462,507,-0.002862494250830183,-0.002862494250830183
all,neutral_065_5,463,508,-0.0004356281115993621,-0.0004356281115993621
all,neutral_065_5,464,509,0.0016210644918112083,0.0016210644918112083
all,neutral_065_5,465,510,-0.004779651751929848,-0.004779651751929848
all,neutral_065_5,466,511,-0.004181128147049407,-0.004181128147049407
all,neutral_065_5,467,512,0.0013279999783947227,0.0013279999783947227
all,neutral_065_5,468,513,0.0019540604903840464,0.0019540604903840464
all,neutral_065_5,469,514,-0.0071975744752381665,-0.0071975744752381665
all,neutral_065_5,470,515,-0.00378046796684961,-0.00378046796684961
all,neutral_065_5,471,516,-0.0018809522968142867,-0.0018809522968142867
all,neutral_065_5,472,517,0.007476607917157652,0.007476607917157652
all,neutral_065_5,473,518,0.004017075710192053,0.004017075710192053
all,neutral_065_5,474,519,-0.016207705127480265,-0.016207705127480265
all,neutral_065_5,475,520,-0.015246801159375933,-0.015246801159375933
all,neutral_065_5,476,521,-0.013990851164691454,-0.013990851164691454
all,neutral_065_5,477,522,0.03195702013474189,0.03195702013474189
all,neutral_065_5,478,523,0.03371657249760229,0.03371657249760229
all,neutral_065_5,479,524,-0.013494350637473396,-0.013494350637473396
all,neutral_065_5,480,525,-0.010435183128756242,-0.010435183128756242
all,neutral_065_5,481,526,-0.01075189625352957,-0.01075189625352957
all,neutral_065_5,482,527,-0.008199091486701837,-0.008199091486701837
all,neutral_065_5,483,528,-0.004672570937716003,-0.004672570937716003
all,neutral_065_5,484,529,-0.007017435465601296,-0.007017435465601296
all,neutral_065_5,485,530,0.0004253351096263902,0.0004253351096263902
all,neutral_065_5,486,531,-0.008793637890335937,-0.008793637890335937
all,neutral_065_5,487,532,-0.008566765989003189,-0.008566765989003189
all,neutral_065_5,488,533,-0.011187182496514403,-0.011187182496514403
all,neutral_065_5,489,534,-0.01748018442397159,-0.01748018442397159
all,neutral_065_5,490,535,-0.007208248976376508,-0.007208248976376508
all,neutral_065_5,491,536,-0.01472169904645837,-0.01472169904645837
all,neutral_065_5,492,537,-0.011987288761445614,-0.011987288761445614
all,neutral_065_5,493,538,-0.0118330855380826,-0.0118330855380826
all,neutral_065_5,494,539,-0.018738575483193465,-0.018738575483193465
all,neutral_065_5,495,540,-0.01585759530523445,-0.01585759530523445
all,neutral_065_5,496,541,-0.016873698889712685,-0.016873698889712685
all,neutral_065_5,746,791,-0.005959333845996895,-0.005959333845996895
all,neutral_065_5,747,792,-0.009312931825125492,-0.009312931825125492
all,neutral_065_5,748,793,-0.006340085459965561,-0.006340085459965561
all,neutral_065_5,749,794,-0.007014429223705543,-0.007014429223705543
all,neutral_065_5,750,795,-0.003863439566985871,-0.003863439566985871
all,neutral_065_5,751,796,-0.005298382616117481,-0.005298382616117481
all,neutral_065_5,752,797,-0.01210953874397136,-0.01210953874397136
all,neutral_065_5,753,798,-0.00458162917434124,-0.00458162917434124
all,neutral_065_5,754,799,-0.0017347924776811574,-0.0017347924776811574
all,neutral_065_5,755,800,-0.0020856962669466572,-0.0020856962669466572
all,neutral_065_5,756,801,-0.0033753855719318437,-0.0033753855719318437
all,neutral_065_5,757,802,0.001109333456114081,0.001109333456114081
all,neutral_065_5,758,803,-0.002049678564158608,-0.002049678564158608
all,neutral_065_5,759,804,-0.001541641655359527,-0.001541641655359527
all,neutral_065_5,760,805,0.00030345208626569864,0.00030345208626569864
all,neutral_065_5,761,806,0.002533257171301262,0.002533257171301262
all,neutral_065_5,762,807,0.002222762101846021,0.002222762101846021
all,neutral_065_5,763,808,-2.7354498625120627e-05,-2.7354498625120627e-05
all,neutral_065_5,764,809,0.004113341150196348,0.004113341150196348
all,neutral_065_5,765,810,0.004040379892131796,0.004040379892131796
all,neutral_065_5,766,811,0.0026539906627134346,0.0026539906627134346
all,neutral_065_5,767,812,0.004024783537959431,0.004024783537959431
all,neutral_065_5,768,813,0.005712102791904705,0.005712102791904705
all,neutral_065_5,769,814,0.007958985338461844,0.007958985338461844
all,neutral_065_5,770,815,0.010446532627722105,0.010446532627722105
all,neutral_065_5,771,816,0.006438360197500659,0.006438360197500659
all,neutral_065_5,772,817,0.0069739386075717835,0.0069739386075717835
all,neutral_065_5,773,818,0.006226081025315855,0.006226081025315855
all,neutral_065_5,774,819,8.456722850391785e-05,8.456722850391785e-05
all,neutral_065_5,775,820,0.0003494010606741593,0.0003494010606741593
all,neutral_065_5,776,821,0.0039532928343744,0.0039532928343744
all,neutral_065_5,777,822,-0.009421745263620496,-0.009421745263620496
all,neutral_065_5,778,823,-0.009695850658860028,-0.009695850658860028
all,neutral_065_5,779,824,-0.003861949376461782,-0.003861949376461782
all,neutral_065_5,780,825,-0.0036823429941957864,-0.0036823429941957864
all,neutral_065_5,781,826,-1.8006461266484308e-06,-1.8006461266484308e-06
all,neutral_065_5,995,1040,-0.0011782017243422427,-0.0011782017243422427
all,neutral_065_5,996,1041,-0.00043707997499020657,-0.00043707997499020657
all,neutral_065_5,997,1042,0.00043647374808508665,0.00043647374808508665
all,neutral_065_5,998,1043,0.0053572367713983216,0.0053572367713983216
all,neutral_065_5,999,1044,0.005556383501653439,0.005556383501653439
all,neutral_065_5,1000,1045,0.004410352789549599,0.004410352789549599
all,neutral_065_5,1001,1046,0.0027205337566416077,0.0027205337566416077
